route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,81,RJ,,,101,,,
10,81,D,,,103,,,
11,81,REX,,,106,,,
12,81,S 3,,,109,,,
13,81,S 6,,,109,,,
14,81,R 3,,,106,,,
15,81,S 9,,,109,,,
16,81,REX 9,,,106,,,
17,81,S 5,,,109,,,
18,81,REX 5,,,106,,,
19,81,S,,,109,,,
2,81,EC,,,102,,,
20,81,REX 2,,,106,,,
21,81,S 8,,,109,,,
22,81,R 8,,,106,,,
23,81,ICE,,,101,,,
24,81,S 50,,,109,,,
25,81,S 40,,,109,,,
26,81,R 40,,,106,,,
27,81,S 4,,,109,,,
28,81,R 1,,,106,,,
29,81,S 7,,,109,,,
3,81,IC,,,102,,,
30,81,R 7,,,106,,,
31,81,S 80,,,109,,,
32,81,S 60,,,109,,,
33,81,R 2,,,106,,,
34,81,REX 4,,,106,,,
35,81,REX 1,,,106,,,
36,81,R 4,,,106,,,
37,81,EN,,,103,,,
38,81,S 51,,,109,,,
39,81,REX 8,,,106,,,
4,81,NJ,,,103,,,
40,81,S 21,,,109,,,
41,81,S 41,,,109,,,
42,81,EN -,,,103,,,
43,81,REX 3,,,106,,,
44,810026,CAT,,,103,,,
45,81,ASTB,,,103,,,
46,81,RB,,,106,,,
47,81,EC,,,102,,,
48,81,EX 3,,,102,,,
49,81,EX,,,102,,,
5,81,RJX,,,101,,,
50,81,R,,,103,,,
51,81,R 400,,,106,,,
52,81,REX 400,,,106,,,
53,81,Sp,,,106,,,
54,81,Os,,,106,,,
55,81,Os 3,,,106,,,
56,81,RE,,,106,,,
57,81,ER,,,106,,,
58,81,R 9,,,106,,,
59,81,REX 6,,,106,,,
6,81,R,,,106,,,
60,81,R 6,,,106,,,
7,81,S 1,,,109,,,
8,81,S 45,,,109,,,
9,81,S 2,,,109,,,
